,Case,Method,Sigma_Option,Sigma,Normalized,Empirical_Method,Similarity_Overlap,Distance_Euclidean,MSE_s1,KL_Divergence_s1,AIC_s1,BIC_s1,MSE_s2,KL_Divergence_s2,AIC_s2,BIC_s2
0,1,nd,0.01,0.01,False,kde,0.22609206550041458,4.5660917622066535,0.041953004817457076,-1.771051487290586,6315.634206017531,6325.449716575496,0.024916231504007257,-1.336758460547684,6323.622545982307,6333.438056540272
1,1,nd,0.01,0.01,False,counts,0.22609206550041458,4.5660917622066535,0.029987466595345864,0.20716218029993216,6315.634206017531,6325.449716575496,0.024916231504007257,-1.336758460547684,6323.622545982307,6333.438056540272
2,1,nd,0.1,0.1,False,kde,0.39386428843618876,5.674476161992392,0.10760780922138549,-4.5884520026409925,5846.714315935147,5856.529826493112,0.10130766685533735,-4.492153672009449,5802.662947021333,5812.478457579297
3,1,nd,0.1,0.1,False,counts,0.39386428843618876,5.674476161992392,0.08378876036517564,-27.081141370178706,5846.714315935147,5856.529826493112,0.10130766685533735,-4.492153672009449,5802.662947021333,5812.478457579297
4,1,nd,0.2,0.2,False,kde,0.40083277308686627,6.31608995711233,0.1405736356501628,-4.814510981663674,5932.134159961992,5941.949670519956,0.136943544555971,-4.766016619178041,5885.3261191854035,5895.141629743368
5,1,nd,0.2,0.2,False,counts,0.40083277308686627,6.31608995711233,0.1137359090484052,-28.707273158561684,5932.134159961992,5941.949670519956,0.136943544555971,-4.766016619178041,5885.3261191854035,5895.141629743368
6,1,nd,0.5,0.5,False,kde,0.4050463723153353,7.123430651573569,0.20333581129381087,-5.044413218843901,5992.975654069435,6002.7911646274,0.1674132617812308,-4.936979388064392,5946.310080503848,5956.125591061813
7,1,nd,0.5,0.5,False,counts,0.4050463723153353,7.123430651573569,0.17130140580740003,-31.021883868982176,5992.975654069435,6002.7911646274,0.1674132617812308,-4.936979388064392,5946.310080503848,5956.125591061813
8,1,nd,r0.01,0.29027490844107545,False,kde,0.40255395870578575,6.6971182282189226,0.16790527996550558,-4.926705317867971,5962.071600451718,5971.8871110096825,0.15229892433041162,-4.862384227696622,5918.040978104422,5927.856488662386
9,1,nd,r0.01,0.29027490844107545,False,counts,0.40255395870578575,6.6971182282189226,0.1386775583199985,-29.81944720653491,5962.071600451718,5971.8871110096825,0.15229892433041162,-4.862384227696622,5918.040978104422,5927.856488662386
10,1,nd,r0.1,2.902749084410755,False,kde,0.44637487739776543,7.498427055685375,0.25264163031966713,-5.202905422416596,6038.361226615344,6048.1767371733085,0.25093947613860806,-5.1981404852036,6006.948608839269,6016.764119397233
11,1,nd,r0.1,2.902749084410755,False,counts,0.44637487739776543,7.498427055685375,0.21725287082148845,-32.78975251038992,6038.361226615344,6048.1767371733085,0.25093947613860806,-5.1981404852036,6006.948608839269,6016.764119397233
12,1,nd,r0.2,5.80549816882151,False,kde,0.5189158315813606,7.012987752411475,0.3077884835753568,-5.346566579419654,6124.851351600744,6134.666862158709,0.31488264777305,-5.35374109631204,6115.455951414035,6125.271461971999
13,1,nd,r0.2,5.80549816882151,False,counts,0.5189158315813606,7.012987752411475,0.26921187931195556,-34.678985666260175,6124.851351600744,6134.666862158709,0.31488264777305,-5.35374109631204,6115.455951414035,6125.271461971999
14,1,nd,r0.5,14.513745422053773,False,kde,0.6629269792963395,6.0670402155727245,0.47558045057893544,-5.538625674251845,6469.058623510975,6478.874134068939,0.47829230849664367,-5.528494252806829,6468.698229843968,6478.513740401932
15,1,nd,r0.5,14.513745422053773,False,counts,0.6629269792963395,6.0670402155727245,0.4313930068315949,-37.2046168001508,6469.058623510975,6478.874134068939,0.47829230849664367,-5.528494252806829,6468.698229843968,6478.513740401932
16,1,nd,0.01,0.01,True,kde,0.7792208838035084,2.6590475844021872,0.2092399511855283,-4.940604260345532,6499.493498190532,6509.309008748496,0.17862189268912299,-4.891649782983601,6295.132767706515,6304.948278264479
17,1,nd,0.01,0.01,True,counts,0.7792208838035084,2.6590475844021872,0.18139101110012032,-29.056749855378264,6499.493498190532,6509.309008748496,0.17862189268912299,-4.891649782983601,6295.132767706515,6304.948278264479
18,1,nd,0.1,0.1,True,kde,0.8791486648442678,1.4931654377328183,0.30900652663688627,-5.184691471304687,6488.773797016877,6498.589307574842,0.291202188197941,-5.206233348029565,6311.046765396499,6320.862275954463
19,1,nd,0.1,0.1,True,counts,0.8791486648442678,1.4931654377328183,0.2742936330719079,-32.16933487410877,6488.773797016877,6498.589307574842,0.291202188197941,-5.206233348029565,6311.046765396499,6320.862275954463
