dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared
synthetic_normal,normal,100,100,0.1,0.1,0,0.24786996841430664,0.003313779830932617,31.921875,0.390625,1.1705890339529245e-05,1.8659552359370976e-05
synthetic_normal,normal,100,100,0.1,0.1,1,0.0033130645751953125,0.0004360675811767578,0.046875,0.078125,1.2057901657113738e-05,1.9156538554539104e-05
synthetic_normal,normal,100,100,0.1,0.1,2,0.0032689571380615234,0.00040984153747558594,0.0,0.03125,1.1998234929945075e-05,1.921120844674047e-05
synthetic_normal,normal,100,100,0.1,0.1,3,0.003130197525024414,0.00043702125549316406,0.09375,0.015625,1.1418979556224872e-05,1.860996173052217e-05
synthetic_normal,normal,100,100,0.1,0.1,4,0.0031108856201171875,0.0004050731658935547,0.0,0.0,9.228792532731117e-06,1.5827495589583548e-05
synthetic_normal,normal,100,100,0.3,0.3,0,0.003209829330444336,0.0003821849822998047,0.015625,0.0,4.574056343221112e-06,7.507670324065006e-06
synthetic_normal,normal,100,100,0.3,0.3,1,0.0035479068756103516,0.0004980564117431641,0.09375,0.0,5.671169240031202e-06,9.704657044444741e-06
synthetic_normal,normal,100,100,0.3,0.3,2,0.0034759044647216797,0.0004208087921142578,0.09375,0.0,5.8767143556679715e-06,9.336936784197972e-06
synthetic_normal,normal,100,100,0.3,0.3,3,0.0034399032592773438,0.0003788471221923828,0.21875,0.015625,5.290185795739591e-06,8.364766848033695e-06
synthetic_normal,normal,100,100,0.3,0.3,4,0.0034461021423339844,0.0003819465637207031,0.015625,0.0,4.552908372640223e-06,7.791201725555606e-06
synthetic_normal,normal,100,100,0.5,0.5,0,0.0036089420318603516,0.00039505958557128906,0.0625,0.015625,2.8596172567013344e-06,4.997618982820279e-06
synthetic_normal,normal,100,100,0.5,0.5,1,0.0037238597869873047,0.0004971027374267578,0.1875,0.015625,3.2304917914330077e-06,5.744657182578774e-06
synthetic_normal,normal,100,100,0.5,0.5,2,0.0036039352416992188,0.0004229545593261719,-0.234375,0.0,3.1396936693409676e-06,5.560186191189673e-06
synthetic_normal,normal,100,100,0.5,0.5,3,0.0036859512329101562,0.00045800209045410156,0.015625,0.015625,3.124014509529245e-06,5.531159795173611e-06
synthetic_normal,normal,100,100,0.5,0.5,4,0.0035867691040039062,0.0004107952117919922,0.0,0.0,2.7858017625722892e-06,4.929152679028597e-06
synthetic_normal,normal,100,100,r0.1,2.2529655026501376,0,0.005109071731567383,0.00046515464782714844,1.046875,0.0,2.9026675206979713e-06,5.052008015764644e-06
synthetic_normal,normal,100,100,r0.1,2.541493608287516,1,0.00500798225402832,0.0004999637603759766,0.3125,0.0,2.4862641033062305e-06,4.25510199214796e-06
synthetic_normal,normal,100,100,r0.1,2.541493608287516,2,0.004928112030029297,0.0005359649658203125,-0.921875,0.0,2.5334786489311162e-06,4.394179731843407e-06
synthetic_normal,normal,100,100,r0.1,2.541493608287516,3,0.004867076873779297,0.0005331039428710938,0.0,0.0,2.5797697853526794e-06,4.482471173518493e-06
synthetic_normal,normal,100,100,r0.1,2.2254055135430897,4,0.004953145980834961,0.0005400180816650391,0.203125,0.0,3.3869939930922466e-06,5.6092878863226545e-06
synthetic_normal,normal,100,100,r0.3,6.7588965079504115,0,0.1654951572418213,0.0005967617034912109,7.234375,0.015625,8.990623345716143e-06,2.0311312263335627e-05
synthetic_normal,normal,100,100,r0.3,7.624480824862547,1,0.10346484184265137,0.0006000995635986328,2.90625,0.0,8.743137880045564e-06,1.9795024833420465e-05
synthetic_normal,normal,100,100,r0.3,7.624480824862547,2,0.10086822509765625,0.0006210803985595703,2.796875,0.0,1.0290414139310557e-05,2.2646906255629432e-05
synthetic_normal,normal,100,100,r0.3,7.624480824862547,3,0.10274600982666016,0.0005781650543212891,1.53125,0.0,9.925640230812089e-06,2.1988827012037364e-05
synthetic_normal,normal,100,100,r0.3,6.676216540629269,4,0.13521409034729004,0.00055694580078125,0.171875,0.0,7.508487131448064e-06,1.7505016535504068e-05
synthetic_normal,normal,1000,1000,0.1,0.1,0,0.004257917404174805,0.0031728744506835938,0.0,0.0,1.7702115762610044e-07,1.9358696058343382e-07
synthetic_normal,normal,1000,1000,0.1,0.1,1,0.004196882247924805,0.0020411014556884766,0.0,0.0,2.6478599924758786e-07,2.803186861201209e-07
synthetic_normal,normal,1000,1000,0.1,0.1,2,0.004113197326660156,0.002048969268798828,0.0,0.0,4.985567983897381e-07,5.113486393929321e-07
synthetic_normal,normal,1000,1000,0.1,0.1,3,0.004119157791137695,0.00203704833984375,0.0,0.0,3.0830946239078124e-07,3.2040054982877337e-07
synthetic_normal,normal,1000,1000,0.1,0.1,4,0.004088878631591797,0.0020530223846435547,0.609375,0.0,1.183515833659371e-07,1.3750479671723871e-07
synthetic_normal,normal,1000,1000,0.3,0.3,0,0.005486965179443359,0.002288818359375,1.609375,0.0,1.1272458638603614e-07,1.1701333352244375e-07
synthetic_normal,normal,1000,1000,0.3,0.3,1,0.005517721176147461,0.0023522377014160156,0.078125,0.0,1.1074087408216801e-07,1.1499829560609257e-07
synthetic_normal,normal,1000,1000,0.3,0.3,2,0.005165815353393555,0.0022547245025634766,0.015625,0.0,1.2423267857699823e-07,1.3356912282524566e-07
synthetic_normal,normal,1000,1000,0.3,0.3,3,0.005151987075805664,0.0022041797637939453,0.015625,0.0,1.1956303904990025e-07,1.2444333248692826e-07
synthetic_normal,normal,1000,1000,0.3,0.3,4,0.0053060054779052734,0.0023050308227539062,0.015625,0.0,5.298477078235243e-08,5.794341297950962e-08
synthetic_normal,normal,1000,1000,0.5,0.5,0,0.006461143493652344,0.0026121139526367188,2.640625,0.0,5.592432231584344e-08,6.227745830445902e-08
synthetic_normal,normal,1000,1000,0.5,0.5,1,0.006412029266357422,0.0026030540466308594,0.40625,0.0,1.3889166343643308e-07,1.4275143002272134e-07
synthetic_normal,normal,1000,1000,0.5,0.5,2,0.0061261653900146484,0.0024688243865966797,0.0,0.0,7.079876742613963e-08,8.077360110034038e-08
synthetic_normal,normal,1000,1000,0.5,0.5,3,0.006094217300415039,0.0024678707122802734,0.015625,0.0,6.96897786270798e-08,7.855738047700836e-08
synthetic_normal,normal,1000,1000,0.5,0.5,4,0.0063669681549072266,0.002516031265258789,0.03125,0.0,7.973085169491224e-08,8.286415510291281e-08
synthetic_normal,normal,1000,1000,r0.1,3.350637055642399,0,0.021373987197875977,0.0031082630157470703,11.03125,0.0,3.037157481964025e-07,5.062368598470572e-07
synthetic_normal,normal,1000,1000,r0.1,3.5469994153618973,1,0.022243022918701172,0.003061056137084961,9.65625,0.0,2.60424852567712e-07,4.4948411494685744e-07
synthetic_normal,normal,1000,1000,r0.1,3.5469994153618973,2,0.020228862762451172,0.003003835678100586,0.03125,0.0,2.488282913871028e-07,4.278192387538329e-07
