dataset,length,metric,n_samples,ndg_median,kde_median,speedup_factor,wilcoxon_statistic,p_value,effect_size,significant,memory_savings
opportunity,100,execution_time,25,0.09945893287658691,0.0005812644958496094,0.005844266362387663,325.0,1.0,0.0,False,
opportunity,100,memory_usage,25,0.5,0.0,,252.0,0.9999770435075163,5.7543393154033085e-06,False,-499999998.99999994
opportunity,1000,execution_time,25,0.01758265495300293,0.0029938220977783203,0.17027133307117578,325.0,1.0,0.0,False,
opportunity,1000,memory_usage,25,0.40625,0.0,,207.0,0.9999300271034457,1.753960411856766e-05,False,-406249999.0
opportunity,10000,execution_time,25,0.10861778259277344,0.02801203727722168,0.2578954993239328,325.0,1.0,0.0,False,
opportunity,10000,memory_usage,25,0.0625,0.0,,145.0,0.995218546941084,0.0011985397168381997,False,-62499998.99999999
opportunity,100000,execution_time,25,0.18260788917541504,0.11080002784729004,0.6067647369870991,310.0,0.9999967217445374,8.217367834156328e-07,False,
opportunity,100000,memory_usage,25,0.03125,0.0,,158.0,0.5904080495228724,0.10764896151147604,False,-31249998.999999996
pamap2,100,execution_time,25,0.10112690925598145,0.00060272216796875,0.005960057242954849,325.0,1.0,0.0,False,
pamap2,100,memory_usage,25,0.40625,0.0,,252.0,0.9999769904563169,5.767637279031291e-06,False,-406249999.0
pamap2,1000,execution_time,25,0.14049673080444336,0.004336118698120117,0.030862772915019192,325.0,1.0,0.0,False,
pamap2,1000,memory_usage,25,0.296875,0.0,,210.0,0.9999560879793488,1.10071112616139e-05,False,-296874999.0
pamap2,10000,execution_time,25,0.16694021224975586,0.028077125549316406,0.16818671290120796,325.0,1.0,0.0,False,
pamap2,10000,memory_usage,25,0.984375,0.0,,212.0,0.9996022653749261,9.969728982993306e-05,False,-984374998.9999999
pamap2,100000,execution_time,25,0.778073787689209,0.2791731357574463,0.3588003351026114,310.0,0.9999967217445374,8.217367834156328e-07,False,
pamap2,100000,memory_usage,25,-17.1875,0.09375,,59.0,0.0020875930786132812,0.6154958683198963,True,184.3333313777778
synthetic_bimodal,100,execution_time,25,0.003607034683227539,0.0005559921264648438,0.154141053605658,325.0,1.0,0.0,False,
synthetic_bimodal,100,memory_usage,25,0.015625,0.0,,132.0,0.999582272210076,0.00010470883371568233,False,-15624998.999999998
synthetic_bimodal,1000,execution_time,25,0.006411075592041016,0.0028412342071533203,0.44317590182223876,325.0,1.0,0.0,False,
synthetic_bimodal,1000,memory_usage,25,0.046875,0.0,,171.0,0.9999036580482821,2.414934607961092e-05,False,-46874999.0
synthetic_bimodal,10000,execution_time,25,0.029842853546142578,0.02370619773864746,0.7943676599824239,274.0,0.9991873204708099,0.00020370858383037855,False,
synthetic_bimodal,10000,memory_usage,25,1.359375,0.0,,291.0,0.9999720395685276,7.008640811382315e-06,False,-1359374999.0
synthetic_bimodal,100000,execution_time,25,0.17377114295959473,0.20179510116577148,1.1612693438558603,205.0,0.8739480376243591,0.031729135863451274,False,
synthetic_bimodal,100000,memory_usage,25,0.0,0.078125,,99.0,0.11772081878764035,0.3128824218231159,False,1.0
synthetic_normal,100,execution_time,25,0.0036859512329101562,0.00046515464782714844,0.1261966364812419,325.0,1.0,0.0,False,
synthetic_normal,100,memory_usage,25,0.09375,0.0,,196.0,0.9974373220845599,0.0006423691966016556,False,-93749999.0
synthetic_normal,1000,execution_time,25,0.0063669681549072266,0.0026030540466308594,0.4088372963864445,325.0,1.0,0.0,False,
synthetic_normal,1000,memory_usage,25,0.03125,0.0,,190.0,0.9999362295014961,1.5984893480743193e-05,False,-31249998.999999996
synthetic_normal,10000,execution_time,25,0.032679080963134766,0.02390313148498535,0.731450542074621,280.0,0.9995959401130676,0.00010128279805197117,False,
synthetic_normal,10000,memory_usage,25,0.421875,0.0,,196.0,0.9611396743975343,0.009744693330747513,False,-421874999.0
synthetic_normal,100000,execution_time,25,0.276104211807251,0.2202308177947998,0.7976365748036596,247.0,0.9898625314235687,0.0025411549076441607,False,
synthetic_normal,100000,memory_usage,25,-0.609375,0.15625,,130.0,0.40387345189566654,0.16694468406691684,False,4.89999997504
