dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared,optimization_used,kernel_type
synthetic_normal,normal,100,100,0.1,0.1,0,0.13476300239562988,0.0006022453308105469,24.5625,0.359375,0.17891537704981608,0.2525638706917046,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.1,0.1,1,0.00021409988403320312,0.0005402565002441406,0.0,0.078125,0.192648809841722,0.2683466479492005,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.1,0.1,2,0.00011706352233886719,0.00043392181396484375,0.015625,0.015625,0.18127963756282814,0.2572790573174593,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.1,0.1,3,0.0001220703125,0.00045108795166015625,0.0,0.015625,0.19757295904626648,0.2785316463657309,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.1,0.1,4,0.00011205673217773438,0.0004069805145263672,0.0,0.0,0.17156103534704434,0.2387896242006453,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.3,0.3,0,0.0001430511474609375,0.0004150867462158203,0.0,0.0,0.06777025944216536,0.10571567002101825,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.3,0.3,1,0.00015687942504882812,0.00048470497131347656,0.0,0.0,0.08476554951131529,0.1322227932882205,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.3,0.3,2,0.00012993812561035156,0.0004470348358154297,0.0,0.0,0.07814907209866605,0.11823091852847087,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.3,0.3,3,0.000141143798828125,0.0004820823669433594,0.0,0.015625,0.06830016952762212,0.10431488901387206,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.3,0.3,4,0.00012993812561035156,0.0004990100860595703,0.0,0.0,0.07062849908004792,0.10845623679466837,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.5,0.5,0,0.00010418891906738281,0.00043487548828125,0.0,0.0,0.05138597842484498,0.08249028460893054,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.5,0.5,1,0.00014591217041015625,0.0005412101745605469,0.0,0.0,0.06952566735768846,0.11044135994221665,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.5,0.5,2,0.00011229515075683594,0.00044798851013183594,0.0,0.0,0.05990582355670904,0.09179819049275814,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.5,0.5,3,0.00011491775512695312,0.00045609474182128906,0.0,0.0,0.05452026054652308,0.08577644192423783,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,0.5,0.5,4,0.00010800361633300781,0.0005199909210205078,0.0,0.0,0.056724488582013316,0.0900998629727214,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.1,2.2529655026501376,0,0.00010704994201660156,0.00043702125549316406,0.0,0.0,0.018255540029080877,0.028667473118848534,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.1,2.541493608287516,1,0.00014781951904296875,0.0005230903625488281,0.0,0.0,0.013218521715861391,0.02006510008595466,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.1,2.541493608287516,2,0.00011682510375976562,0.0005040168762207031,0.0,0.015625,0.015507282995559642,0.025405247825496302,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.1,2.541493608287516,3,0.00016999244689941406,0.0005090236663818359,0.0,0.0,0.016308444001628338,0.027312067235015405,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.1,2.2254055135430897,4,0.00019097328186035156,0.0004980564117431641,0.0,0.0,0.022754811768679106,0.03450158057280427,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.3,6.7588965079504115,0,0.00011706352233886719,0.0005080699920654297,0.0,0.0,0.1338108015309324,0.21052605674044506,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.3,7.624480824862547,1,0.00016498565673828125,0.0005567073822021484,0.0,0.015625,0.12840634421428157,0.1980777767690009,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.3,7.624480824862547,2,0.00013494491577148438,0.00046896934509277344,0.0,0.0,0.14850711485036,0.23449986708325912,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.3,7.624480824862547,3,0.0001399517059326172,0.0004801750183105469,0.0,0.0,0.1440543038307381,0.22789939192795242,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100,100,r0.3,6.676216540629269,4,0.0001480579376220703,0.0004780292510986328,0.0,0.0,0.11462258827024231,0.17445441379178503,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.1,0.1,0,0.00023221969604492188,0.0022420883178710938,0.0,0.0,0.02420916742073189,0.04051578125108879,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.1,0.1,1,0.000286102294921875,0.0021991729736328125,0.0,0.0,0.02383998570088744,0.04088673888082921,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.1,0.1,2,0.00030493736267089844,0.0022306442260742188,0.0,0.0,0.023658032572720086,0.04021674602884601,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.1,0.1,3,0.0003261566162109375,0.002141237258911133,0.0,0.0,0.022961377381451393,0.03863240647283452,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.1,0.1,4,0.00028705596923828125,0.0021851062774658203,0.0,0.0,0.02533875052969333,0.042309690644229625,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.3,0.3,0,0.0002448558807373047,0.002444028854370117,0.0,0.0,0.008966715884339702,0.016199825409283025,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.3,0.3,1,0.0002751350402832031,0.002621173858642578,0.0,0.046875,0.009561915458286923,0.01603373919319565,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.3,0.3,2,0.0002970695495605469,0.002460002899169922,0.0,0.0,0.010696074540972017,0.01871814983860777,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.3,0.3,3,0.0002586841583251953,0.002385854721069336,0.0,0.0,0.009711677233094981,0.017203786278248617,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.3,0.3,4,0.0002620220184326172,0.0024700164794921875,0.0,0.0,0.009550997036414922,0.01692996215836317,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.5,0.5,0,0.0002586841583251953,0.0026559829711914062,0.0,0.0,0.00556359920669021,0.00991982789040299,epanechnikov_optimized,epanechnikov
