dataset,window_size,overlap_ratio,metric_name,macro_f1,balanced_accuracy,accuracy,n_windows,n_classes,computation_time
opportunity,128,0.5,Jaccard,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Dice,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,OverlapCoefficient,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Cosine,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Pearson,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,CrossCorrelation,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Similarity_Hamming,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Similarity_Euclidean,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Similarity_Chebyshev,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Distance_Hamming,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Distance_Euclidean,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Distance_Chebyshev,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,JensenShannon,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,MutualInformation,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,RenyiDivergence_0.5,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,RenyiDivergence_2.0,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Beta_0.1,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,Beta_2.0,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,BhattacharyyaCoefficient,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,BhattacharyyaDistance,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,HellingerDistance,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,EarthMoversDistance,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,EnergyDistance,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,HarmonicMean,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,CustomMetric1_SumMembershipOverIQRDelta,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,CustomMetric2_DerivativeWeightedSimilarity,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,MeanMinOverMax,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,MeanDiceCoefficient,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,MaxIntersection,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,ProductOverMinNormSquared,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,OneMinusAbsDiffOverSumCardinality,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,IntersectionOverMaxCardinality,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,JaccardNegation,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,NegatedIntersectionOverMaxCardinality,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,NegatedOverlapCoefficient,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,NegatedSymDiffOverMaxNegatedComponent,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,NegatedSymDiffOverMinNegatedComponent,1.0,1.0,1.0,77,1,9.704309940338135
opportunity,128,0.5,OneMinusMeanSymmetricDifference,1.0,1.0,1.0,77,1,9.704309940338135
