dataset,window_size,overlap_ratio,metric_name,macro_f1,balanced_accuracy,accuracy,n_windows,n_classes,computation_time
opportunity,120,0.5,Jaccard,0.17278589466089467,0.1746984649122807,0.3116883116883117,77,16,366.9447979927063
opportunity,120,0.5,Dice,0.1789419934640523,0.1825109649122807,0.3246753246753247,77,16,366.9447979927063
opportunity,120,0.5,OverlapCoefficient,0.1789419934640523,0.1825109649122807,0.3246753246753247,77,16,366.9447979927063
opportunity,120,0.5,Cosine,0.20536301933360757,0.2061129385964912,0.36363636363636365,77,16,366.9447979927063
opportunity,120,0.5,Pearson,0.20536301933360757,0.2061129385964912,0.36363636363636365,77,16,366.9447979927063
opportunity,120,0.7,Jaccard,0.3871188263012789,0.40095811051693403,0.46564885496183206,131,17,1512.48290681839
opportunity,120,0.7,Dice,0.396634885249686,0.4070075757575757,0.48854961832061067,131,17,1512.48290681839
opportunity,120,0.7,OverlapCoefficient,0.396634885249686,0.4070075757575757,0.48854961832061067,131,17,1512.48290681839
opportunity,120,0.7,Cosine,0.4399019010505822,0.44698402088107975,0.5419847328244275,131,17,1512.48290681839
opportunity,120,0.7,Pearson,0.44313641231893824,0.450660491469315,0.5572519083969466,131,17,1512.48290681839
opportunity,180,0.5,Jaccard,0.15384615384615385,0.14935064935064934,0.23404255319148937,47,11,103.20215702056885
opportunity,180,0.5,Dice,0.1515151515151515,0.14935064935064934,0.23404255319148937,47,11,103.20215702056885
opportunity,180,0.5,OverlapCoefficient,0.1515151515151515,0.14935064935064934,0.23404255319148937,47,11,103.20215702056885
opportunity,180,0.5,Cosine,0.13766233766233765,0.15584415584415587,0.2553191489361702,47,11,103.20215702056885
opportunity,180,0.5,Pearson,0.13766233766233765,0.15584415584415587,0.2553191489361702,47,11,103.20215702056885
opportunity,180,0.7,Jaccard,0.3374912712705355,0.3446386946386947,0.45121951219512196,82,13,2245.593828201294
opportunity,180,0.7,Dice,0.3367980083201033,0.3446386946386947,0.45121951219512196,82,13,2245.593828201294
opportunity,180,0.7,OverlapCoefficient,0.3367980083201033,0.3446386946386947,0.45121951219512196,82,13,2245.593828201294
opportunity,180,0.7,Cosine,0.34723595245334377,0.36095571095571094,0.47560975609756095,82,13,2245.593828201294
opportunity,180,0.7,Pearson,0.3494250454116675,0.36095571095571094,0.47560975609756095,82,13,2245.593828201294
